case_id,first_name,last_name,date_of_birth,gender,race,height_cm,weight_kg,eye_color,hair_color,missing_city,missing_state,missing_date,missing_age,recovery_status,recovery_date,circumstance,reporter_type,last_seen_location
C00027,Arjun,Patel,2018-04-08,Male,African,123,16,Brown,Blonde,Jaipur,West Bengal,2022-10-08,7,Found,2022-12-09,Lost during travel,NGO,"Near temple, Pune"
C00028,Riya,Reddy,2021-11-25,Male,Mixed,152,28,Blue,Red,Delhi,Uttar Pradesh,2024-06-15,3,Still Missing,,Last seen near park,NGO,"Near mall, Jaipur"
C00029,Kabir,Reddy,2019-02-19,Female,Mixed,143,44,Blue,Blonde,Lucknow,Tamil Nadu,2021-01-02,6,Found,2021-02-16,Lost during travel,NGO,"Near temple, Kolkata"
C00030,Riya,Nair,2017-03-23,Male,Mixed,116,39,Black,Black,Mumbai,Tamil Nadu,2025-08-16,8,Found,2025-12-23,Lost during travel,Police,"Near market, Kolkata"
C00031,Diya,Nair,2019-03-21,Female,Hispanic,98,20,Black,Black,Ahmedabad,Karnataka,2022-12-09,6,Still Missing,,Last seen near park,NGO,"Near bus stop, Hyderabad"
C00032,Kabir,Sharma,2015-12-01,Female,Hispanic,160,25,Brown,Grey,Hyderabad,Karnataka,2023-07-17,9,Still Missing,,Abducted by unknown person,Police,"Near bus stop, Lucknow"
C00033,Arjun,Gupta,2021-09-29,Female,African,150,16,Blue,Blonde,Kolkata,West Bengal,2023-02-09,4,Still Missing,,Wandered away from home,NGO,"Near mall, Mumbai"
C00034,Arjun,Joshi,2017-09-18,Female,Asian,100,49,Brown,Black,Hyderabad,Karnataka,2021-04-14,8,Still Missing,,Missing after school,NGO,"Near mall, Lucknow"
C00035,Ananya,Das,2015-11-29,Female,Mixed,134,21,Blue,Red,Lucknow,Rajasthan,2023-05-25,9,Found,2023-06-23,Abducted by unknown person,Police,"Near temple, Hyderabad"
C00036,Vivaan,Kumar,2018-01-26,Male,Asian,119,20,Hazel,Red,Jaipur,Tamil Nadu,2024-09-20,7,Found,2025-03-07,Separated in a crowd,Relative,"Near market, Chennai"
C00037,Aditya,Das,2017-04-02,Male,African,116,31,Blue,Black,Pune,West Bengal,2024-04-23,8,Still Missing,,Last seen near park,Teacher,"Near temple, Bangalore"
C00038,Riya,Sharma,2018-07-11,Male,Caucasian,130,38,Hazel,Brown,Ahmedabad,Telangana,2022-07-05,7,Still Missing,,Abducted by unknown person,Teacher,"Near school, Chennai"
C00039,Aisha,Singh,2013-08-25,Female,African,120,16,Hazel,Grey,Chennai,West Bengal,2024-03-26,12,Found,2024-07-18,Abducted by unknown person,NGO,"Near mall, Delhi"
C00040,Ananya,Nair,2015-03-13,Female,Hispanic,116,18,Hazel,Red,Jaipur,Telangana,2025-10-05,10,Found,2026-03-23,Missing after school,Teacher,"Near mall, Bangalore"
C00041,Vivaan,Patel,2021-05-26,Female,African,155,49,Blue,Red,Mumbai,Gujarat,2020-11-23,4,Still Missing,,Lost during travel,Teacher,"Near temple, Jaipur"
C00042,Diya,Patel,2015-11-06,Male,Hispanic,110,38,Blue,Blonde,Bangalore,Gujarat,2022-02-02,9,Found,2022-02-14,Wandered away from home,Relative,"Near temple, Chennai"
C00043,Ananya,Kumar,2021-05-19,Female,Asian,118,19,Blue,Brown,Ahmedabad,Telangana,2021-09-10,4,Still Missing,,Wandered away from home,Teacher,"Near mall, Chennai"
C00044,Aisha,Kumar,2018-06-29,Male,Asian,153,45,Brown,Brown,Ahmedabad,Telangana,2025-06-01,7,Found,2025-11-15,Missing after school,NGO,"Near temple, Lucknow"
C00045,Ishaan,Sharma,2020-03-30,Female,African,120,30,Blue,Grey,Chennai,Uttar Pradesh,2022-10-11,5,Still Missing,,Wandered away from home,Parent,"Near market, Bangalore"
C00046,Vivaan,Sharma,2020-04-26,Male,Hispanic,151,18,Hazel,Black,Delhi,Karnataka,2020-12-06,5,Found,2021-01-31,Abducted by unknown person,Relative,"Near market, Mumbai"
C00047,Diya,Patel,2022-10-07,Male,Caucasian,99,15,Blue,Grey,Hyderabad,West Bengal,2025-03-18,3,Found,2025-06-21,Abducted by unknown person,Parent,"Near bus stop, Bangalore"
C00048,Aditya,Kumar,2014-04-19,Female,Caucasian,119,48,Brown,Grey,Hyderabad,West Bengal,2025-01-11,11,Still Missing,,Last seen near park,Relative,"Near bus stop, Bangalore"
C00049,Aarav,Joshi,2021-12-03,Female,Caucasian,95,36,Brown,Red,Bangalore,Delhi,2024-04-28,3,Still Missing,,Abducted by unknown person,Parent,"Near market, Ahmedabad"
C00050,Ananya,Das,2013-01-23,Male,Hispanic,116,20,Green,Grey,Mumbai,Delhi,2023-04-30,12,Still Missing,,Wandered away from home,NGO,"Near temple, Delhi"
C00051,Riya,Patel,2022-08-29,Male,Asian,128,21,Hazel,Black,Ahmedabad,Maharashtra,2025-06-15,3,Still Missing,,Last seen near park,NGO,"Near mall, Bangalore"
C00052,Ananya,Joshi,2018-09-25,Male,Asian,115,30,Blue,Blonde,Delhi,Uttar Pradesh,2023-07-03,7,Found,2023-10-28,Lost during travel,Police,"Near temple, Chennai"
C00053,Vivaan,Kumar,2022-06-10,Female,Mixed,113,25,Blue,Red,Lucknow,Maharashtra,2025-06-11,3,Still Missing,,Wandered away from home,Relative,"Near temple, Ahmedabad"
C00054,Vivaan,Sharma,2018-11-12,Female,African,160,18,Blue,Grey,Lucknow,Uttar Pradesh,2025-08-31,6,Found,2026-02-19,Missing after school,Parent,"Near market, Kolkata"
C00055,Aarav,Reddy,2016-06-13,Female,Asian,111,19,Hazel,Red,Chennai,Uttar Pradesh,2025-05-16,9,Found,2025-08-15,Abducted by unknown person,Police,"Near mall, Chennai"
C00056,Ananya,Reddy,2017-04-02,Female,Caucasian,155,15,Black,Red,Chennai,Karnataka,2020-11-25,8,Found,2020-12-26,Lost during travel,Parent,"Near school, Bangalore"
C00057,Aisha,Kumar,2016-07-14,Male,Mixed,146,49,Hazel,Blonde,Chennai,Delhi,2024-07-23,9,Found,2024-09-10,Abducted by unknown person,Police,"Near mall, Bangalore"
C00058,Aditya,Singh,2021-03-24,Male,Asian,97,36,Green,Red,Mumbai,Delhi,2021-12-29,4,Found,2022-03-22,Wandered away from home,Parent,"Near bus stop, Mumbai"
C00059,Vivaan,Mehta,2015-08-07,Female,Caucasian,131,15,Black,Blonde,Hyderabad,Delhi,2023-11-03,10,Still Missing,,Abducted by unknown person,Parent,"Near temple, Jaipur"
C00060,Riya,Patel,2016-10-02,Male,African,133,16,Blue,Grey,Jaipur,Gujarat,2021-01-31,9,Found,2021-02-17,Abducted by unknown person,NGO,"Near mall, Kolkata"
C00061,Arjun,Reddy,2017-04-14,Male,African,104,38,Brown,Grey,Hyderabad,Gujarat,2022-01-13,8,Still Missing,,Abducted by unknown person,Relative,"Near bus stop, Bangalore"
C00062,Ananya,Mehta,2016-10-28,Male,African,136,44,Brown,Brown,Lucknow,Karnataka,2021-05-20,8,Still Missing,,Wandered away from home,Parent,"Near market, Bangalore"
C00063,Riya,Reddy,2014-05-08,Female,Hispanic,129,31,Blue,Red,Ahmedabad,Karnataka,2022-12-13,11,Found,2023-01-20,Lost during travel,Relative,"Near market, Bangalore"
C00064,Vivaan,Das,2019-12-21,Male,Mixed,112,15,Brown,Blonde,Ahmedabad,Karnataka,2024-05-13,5,Still Missing,,Separated in a crowd,Relative,"Near temple, Ahmedabad"
C00065,Ishaan,Mehta,2021-04-27,Female,Asian,136,32,Hazel,Blonde,Ahmedabad,Delhi,2022-06-24,4,Found,2022-06-25,Missing after school,NGO,"Near bus stop, Lucknow"
C00066,Ananya,Gupta,2019-02-03,Male,African,102,33,Blue,Grey,Kolkata,Rajasthan,2023-12-27,6,Found,2024-06-12,Lost during travel,Police,"Near market, Kolkata"
C00067,Aisha,Gupta,2020-09-19,Male,Asian,116,25,Brown,Grey,Ahmedabad,Delhi,2024-12-30,5,Still Missing,,Last seen near park,Parent,"Near temple, Delhi"
C00068,Aarav,Joshi,2022-05-16,Female,Mixed,110,24,Blue,Brown,Chennai,Uttar Pradesh,2021-04-01,3,Still Missing,,Abducted by unknown person,NGO,"Near school, Jaipur"
C00069,Aditya,Reddy,2015-08-02,Female,Hispanic,132,20,Brown,Grey,Kolkata,Uttar Pradesh,2025-09-05,10,Still Missing,,Lost during travel,Relative,"Near market, Lucknow"
C00070,Arjun,Das,2015-09-04,Male,Asian,129,45,Green,Red,Lucknow,Uttar Pradesh,2023-03-14,10,Found,2023-09-05,Wandered away from home,Police,"Near school, Chennai"
C00071,Aarav,Das,2018-08-27,Female,Caucasian,142,15,Green,Black,Kolkata,Karnataka,2023-10-17,7,Found,2023-11-22,Missing after school,Police,"Near mall, Bangalore"
C00072,Kabir,Kumar,2013-05-01,Male,Mixed,130,15,Blue,Red,Delhi,Telangana,2024-08-09,12,Found,2024-10-21,Missing after school,NGO,"Near bus stop, Pune"
C00073,Riya,Joshi,2016-07-01,Female,Hispanic,124,49,Black,Blonde,Lucknow,Uttar Pradesh,2023-04-05,9,Found,2023-07-23,Separated in a crowd,Police,"Near bus stop, Mumbai"
C00074,Aisha,Joshi,2016-10-22,Female,Mixed,142,20,Green,Blonde,Chennai,Gujarat,2025-08-21,8,Still Missing,,Wandered away from home,Police,"Near school, Hyderabad"
C00075,Riya,Gupta,2014-03-10,Male,Caucasian,126,41,Blue,Black,Ahmedabad,Tamil Nadu,2021-09-07,11,Found,2022-02-07,Missing after school,Police,"Near temple, Jaipur"
C00076,Vivaan,Reddy,2020-03-24,Female,Hispanic,151,15,Green,Red,Hyderabad,Uttar Pradesh,2022-07-06,5,Found,2022-12-03,Missing after school,Teacher,"Near bus stop, Bangalore"
C00077,Ishaan,Nair,2022-02-04,Male,Asian,148,33,Hazel,Blonde,Bangalore,Rajasthan,2022-02-03,3,Found,2022-02-25,Wandered away from home,NGO,"Near school, Bangalore"
C00078,Riya,Nair,2021-10-01,Female,Caucasian,94,35,Hazel,Blonde,Mumbai,Maharashtra,2021-11-12,4,Still Missing,,Missing after school,Relative,"Near bus stop, Mumbai"
C00079,Ananya,Kumar,2020-12-05,Male,Asian,148,35,Black,Brown,Kolkata,Gujarat,2022-11-22,4,Found,2023-02-27,Missing after school,NGO,"Near bus stop, Pune"
C00080,Aarav,Nair,2018-10-29,Male,Mixed,130,48,Hazel,Brown,Bangalore,Rajasthan,2022-06-07,6,Found,2022-07-21,Last seen near park,Police,"Near mall, Lucknow"
C00081,Ananya,Kumar,2016-01-08,Male,Mixed,95,48,Blue,Red,Kolkata,West Bengal,2024-12-09,9,Still Missing,,Wandered away from home,Relative,"Near market, Pune"
C00082,Arjun,Mehta,2018-11-16,Female,Asian,156,21,Hazel,Brown,Pune,Karnataka,2022-11-19,6,Still Missing,,Missing after school,NGO,"Near bus stop, Ahmedabad"
C00083,Riya,Joshi,2018-08-06,Male,Hispanic,113,34,Brown,Red,Lucknow,Telangana,2023-05-13,7,Still Missing,,Last seen near park,Teacher,"Near market, Kolkata"
C00084,Kabir,Gupta,2022-04-19,Male,Hispanic,153,22,Green,Brown,Bangalore,Telangana,2021-11-10,3,Found,2022-03-17,Lost during travel,Teacher,"Near market, Ahmedabad"
C00085,Ishaan,Nair,2018-10-14,Male,African,118,46,Brown,Blonde,Kolkata,West Bengal,2022-04-23,6,Still Missing,,Separated in a crowd,Parent,"Near mall, Chennai"
C00086,Kabir,Nair,2014-08-14,Male,Caucasian,139,30,Black,Black,Mumbai,Telangana,2024-09-02,11,Found,2024-12-28,Lost during travel,Police,"Near school, Bangalore"
C00087,Aditya,Reddy,2020-08-07,Female,Asian,149,21,Brown,Red,Lucknow,Tamil Nadu,2023-05-27,5,Found,2023-09-24,Lost during travel,Police,"Near mall, Jaipur"
C00088,Aditya,Patel,2017-09-17,Female,African,98,49,Green,Brown,Lucknow,Telangana,2021-02-25,8,Found,2021-06-21,Lost during travel,NGO,"Near school, Pune"
C00089,Kabir,Mehta,2016-05-07,Male,Asian,109,48,Hazel,Red,Jaipur,Maharashtra,2020-11-05,9,Still Missing,,Lost during travel,Teacher,"Near market, Kolkata"
C00090,Ananya,Joshi,2017-03-06,Female,Mixed,92,39,Green,Black,Mumbai,Gujarat,2025-04-05,8,Still Missing,,Wandered away from home,Teacher,"Near temple, Pune"
C00091,Vivaan,Reddy,2021-03-14,Male,Hispanic,121,45,Blue,Red,Delhi,Uttar Pradesh,2023-01-01,4,Still Missing,,Lost during travel,NGO,"Near market, Mumbai"
C00092,Arjun,Singh,2021-04-29,Female,African,99,46,Brown,Blonde,Ahmedabad,Maharashtra,2022-03-14,4,Found,2022-09-04,Wandered away from home,Police,"Near market, Ahmedabad"
C00093,Aarav,Singh,2020-06-20,Female,Caucasian,153,44,Green,Red,Ahmedabad,Delhi,2020-12-15,5,Found,2021-01-13,Separated in a crowd,Relative,"Near temple, Jaipur"
C00094,Riya,Mehta,2022-04-06,Female,African,116,37,Green,Brown,Ahmedabad,Delhi,2024-05-16,3,Found,2024-05-28,Abducted by unknown person,Teacher,"Near temple, Kolkata"
C00095,Ananya,Mehta,2016-05-29,Male,African,96,28,Brown,Black,Lucknow,Maharashtra,2025-07-08,9,Still Missing,,Separated in a crowd,NGO,"Near mall, Mumbai"
C00096,Aisha,Sharma,2016-03-21,Female,Hispanic,91,39,Black,Red,Lucknow,Gujarat,2024-02-08,9,Still Missing,,Lost during travel,Police,"Near temple, Ahmedabad"
C00097,Riya,Nair,2017-06-01,Male,Mixed,113,22,Blue,Red,Delhi,Delhi,2022-01-19,8,Still Missing,,Wandered away from home,Teacher,"Near temple, Mumbai"
C00098,Arjun,Joshi,2021-02-11,Female,Asian,103,16,Black,Black,Lucknow,Tamil Nadu,2025-05-01,4,Found,2025-08-30,Missing after school,Parent,"Near school, Chennai"
C00099,Aisha,Reddy,2020-01-09,Male,Asian,119,46,Blue,Blonde,Delhi,Delhi,2023-10-19,5,Still Missing,,Missing after school,NGO,"Near mall, Lucknow"
C00100,Arjun,Patel,2014-09-22,Male,African,115,29,Hazel,Black,Delhi,Rajasthan,2025-05-08,11,Still Missing,,Abducted by unknown person,NGO,"Near mall, Hyderabad"
C00101,Ishaan,Joshi,2019-05-09,Male,Hispanic,102,40,Black,Black,Jaipur,Tamil Nadu,2025-01-25,6,Found,2025-05-26,Abducted by unknown person,Police,"Near school, Chennai"
C00102,Ananya,Sharma,2013-03-31,Female,Caucasian,148,23,Blue,Brown,Chennai,Tamil Nadu,2021-11-12,12,Found,2022-03-01,Lost during travel,NGO,"Near market, Chennai"
C00103,Arjun,Reddy,2014-10-16,Male,African,95,15,Black,Brown,Jaipur,Delhi,2021-10-04,10,Found,2021-11-15,Last seen near park,Police,"Near bus stop, Bangalore"
C00104,Riya,Das,2020-04-01,Female,African,118,30,Blue,Brown,Bangalore,Delhi,2022-03-14,5,Still Missing,,Separated in a crowd,NGO,"Near mall, Mumbai"
C00105,Vivaan,Patel,2014-06-27,Male,Mixed,124,25,Green,Blonde,Lucknow,Karnataka,2021-05-26,11,Still Missing,,Lost during travel,Parent,"Near school, Jaipur"
C00106,Diya,Kumar,2012-11-05,Male,Hispanic,112,24,Blue,Black,Kolkata,Telangana,2022-10-19,12,Still Missing,,Last seen near park,Parent,"Near school, Delhi"
C00107,Aditya,Patel,2013-10-08,Male,African,99,37,Brown,Brown,Delhi,Telangana,2023-07-03,12,Still Missing,,Separated in a crowd,Parent,"Near market, Mumbai"
C00108,Riya,Nair,2020-07-30,Male,Hispanic,107,41,Black,Blonde,Ahmedabad,Maharashtra,2025-02-27,5,Found,2025-08-02,Wandered away from home,NGO,"Near mall, Mumbai"
C00109,Diya,Joshi,2014-10-01,Male,Caucasian,135,47,Brown,Red,Ahmedabad,Karnataka,2022-07-26,11,Found,2022-09-22,Last seen near park,Relative,"Near bus stop, Lucknow"
C00110,Aditya,Singh,2014-03-23,Female,African,117,32,Blue,Brown,Bangalore,Gujarat,2022-03-09,11,Found,2022-08-22,Wandered away from home,NGO,"Near bus stop, Delhi"
C00111,Ananya,Mehta,2017-08-03,Female,Mixed,104,35,Black,Black,Mumbai,Karnataka,2023-02-18,8,Found,2023-03-12,Separated in a crowd,Police,"Near temple, Kolkata"
C00112,Ishaan,Patel,2015-06-04,Female,Hispanic,107,34,Blue,Brown,Delhi,Rajasthan,2023-02-17,10,Still Missing,,Abducted by unknown person,Teacher,"Near market, Hyderabad"
C00113,Arjun,Kumar,2013-01-16,Male,Asian,91,26,Hazel,Red,Chennai,Telangana,2022-06-05,12,Found,2022-09-14,Wandered away from home,NGO,"Near school, Chennai"
C00114,Ananya,Kumar,2019-08-06,Female,African,126,25,Brown,Brown,Delhi,Maharashtra,2025-01-30,6,Found,2025-04-03,Separated in a crowd,Police,"Near market, Mumbai"
C00115,Riya,Das,2017-11-12,Female,Caucasian,159,27,Black,Black,Chennai,Delhi,2021-10-02,7,Still Missing,,Lost during travel,Police,"Near market, Ahmedabad"
C00116,Arjun,Nair,2019-03-21,Female,Mixed,102,18,Black,Brown,Mumbai,Tamil Nadu,2025-01-02,6,Still Missing,,Lost during travel,Relative,"Near bus stop, Bangalore"
C00117,Aarav,Singh,2014-04-17,Male,Mixed,157,34,Green,Blonde,Mumbai,Uttar Pradesh,2025-04-10,11,Found,2025-08-14,Wandered away from home,Relative,"Near temple, Pune"
C00118,Arjun,Mehta,2016-06-17,Male,Asian,94,29,Green,Grey,Delhi,Uttar Pradesh,2023-01-20,9,Still Missing,,Last seen near park,Police,"Near mall, Ahmedabad"
C00119,Kabir,Gupta,2018-10-22,Male,Hispanic,103,22,Brown,Brown,Jaipur,Delhi,2025-04-19,6,Found,2025-06-07,Last seen near park,Teacher,"Near market, Kolkata"
C00120,Aarav,Patel,2014-09-19,Female,Asian,120,49,Blue,Brown,Mumbai,Uttar Pradesh,2024-05-15,11,Found,2024-11-07,Abducted by unknown person,Parent,"Near market, Kolkata"
C00121,Riya,Patel,2015-05-12,Female,Mixed,90,24,Black,Black,Jaipur,West Bengal,2022-10-17,10,Found,2022-10-18,Wandered away from home,Police,"Near market, Kolkata"
C00122,Riya,Kumar,2016-01-11,Male,Asian,126,15,Green,Brown,Pune,Uttar Pradesh,2021-07-30,9,Still Missing,,Wandered away from home,Police,"Near school, Chennai"
C00123,Ananya,Patel,2021-03-15,Male,Asian,149,27,Hazel,Red,Jaipur,Telangana,2021-12-02,4,Found,2022-02-06,Last seen near park,NGO,"Near school, Bangalore"
C00124,Aarav,Patel,2017-05-07,Female,African,121,20,Black,Red,Mumbai,Telangana,2021-02-27,8,Found,2021-05-09,Wandered away from home,Teacher,"Near bus stop, Pune"
C00125,Aditya,Nair,2019-03-25,Male,Caucasian,120,48,Brown,Brown,Ahmedabad,Delhi,2025-07-20,6,Found,2025-09-07,Abducted by unknown person,Relative,"Near bus stop, Delhi"
C00126,Aisha,Reddy,2015-06-06,Female,Caucasian,151,41,Blue,Red,Kolkata,Telangana,2023-09-11,10,Still Missing,,Last seen near park,Parent,"Near mall, Chennai"
C00127,Aditya,Joshi,2013-09-04,Male,African,115,15,Blue,Brown,Chennai,Telangana,2024-03-30,12,Found,2024-08-25,Last seen near park,Police,"Near temple, Chennai"
C00128,Aditya,Patel,2013-04-12,Male,African,91,15,Brown,Brown,Mumbai,Delhi,2023-04-16,12,Found,2023-08-31,Wandered away from home,Teacher,"Near mall, Kolkata"
C00129,Ananya,Nair,2021-11-23,Female,Mixed,113,23,Black,Black,Hyderabad,Uttar Pradesh,2020-12-28,3,Still Missing,,Missing after school,Parent,"Near market, Kolkata"
C00130,Riya,Patel,2020-05-12,Male,Caucasian,156,20,Hazel,Black,Bangalore,Telangana,2023-06-09,5,Still Missing,,Separated in a crowd,Police,"Near temple, Jaipur"
C00131,Arjun,Kumar,2016-12-13,Male,African,136,45,Black,Grey,Bangalore,Karnataka,2024-12-02,8,Still Missing,,Last seen near park,Parent,"Near market, Mumbai"
C00132,Diya,Nair,2021-09-05,Female,Mixed,104,36,Black,Black,Ahmedabad,Uttar Pradesh,2024-03-27,4,Still Missing,,Missing after school,Police,"Near bus stop, Pune"
C00133,Riya,Nair,2016-02-14,Male,African,126,24,Green,Brown,Bangalore,Maharashtra,2021-08-30,9,Still Missing,,Missing after school,Relative,"Near school, Lucknow"
C00134,Riya,Gupta,2020-07-31,Male,Mixed,121,38,Brown,Blonde,Lucknow,Karnataka,2021-01-26,5,Still Missing,,Wandered away from home,NGO,"Near school, Delhi"
C00135,Aarav,Sharma,2014-05-10,Male,Caucasian,97,25,Brown,Grey,Kolkata,West Bengal,2025-05-24,11,Still Missing,,Abducted by unknown person,NGO,"Near bus stop, Ahmedabad"
C00136,Vivaan,Gupta,2017-04-04,Female,African,107,29,Blue,Red,Kolkata,Karnataka,2021-12-10,8,Still Missing,,Abducted by unknown person,Police,"Near temple, Mumbai"
C00137,Kabir,Nair,2018-03-18,Female,African,93,48,Black,Blonde,Kolkata,Uttar Pradesh,2025-08-14,7,Found,2026-01-10,Abducted by unknown person,Police,"Near market, Kolkata"
C00138,Arjun,Reddy,2020-05-06,Male,Mixed,123,30,Blue,Red,Ahmedabad,Rajasthan,2024-05-05,5,Found,2024-07-10,Abducted by unknown person,Teacher,"Near school, Jaipur"
C00139,Kabir,Mehta,2022-05-26,Female,Mixed,97,15,Green,Black,Delhi,Telangana,2025-06-01,3,Still Missing,,Separated in a crowd,Parent,"Near school, Hyderabad"
C00140,Kabir,Patel,2014-10-23,Male,Asian,93,29,Hazel,Brown,Chennai,Telangana,2022-05-04,10,Found,2022-06-25,Wandered away from home,Police,"Near temple, Jaipur"
C00141,Aarav,Joshi,2020-12-02,Female,Asian,128,26,Black,Brown,Bangalore,West Bengal,2025-01-30,4,Still Missing,,Separated in a crowd,Parent,"Near mall, Jaipur"
C00142,Kabir,Sharma,2019-07-31,Female,Asian,132,45,Hazel,Brown,Lucknow,Maharashtra,2023-11-06,6,Still Missing,,Last seen near park,Police,"Near mall, Mumbai"
C00143,Diya,Reddy,2018-05-24,Male,African,158,18,Black,Blonde,Bangalore,Uttar Pradesh,2021-01-07,7,Found,2021-02-03,Lost during travel,Teacher,"Near temple, Bangalore"
C00144,Diya,Kumar,2012-10-22,Female,Hispanic,143,47,Green,Red,Kolkata,Karnataka,2022-06-15,12,Found,2022-11-11,Wandered away from home,Police,"Near market, Mumbai"
C00145,Aarav,Nair,2018-07-23,Female,Asian,110,38,Green,Red,Bangalore,Karnataka,2022-09-17,7,Found,2022-10-20,Wandered away from home,Police,"Near mall, Lucknow"
C00146,Aditya,Singh,2020-03-30,Male,Caucasian,109,48,Black,Grey,Delhi,Telangana,2025-08-17,5,Found,2025-12-25,Wandered away from home,Parent,"Near mall, Kolkata"
